"a","v","ter","a2","vratio","a2_slope_upper","a2_slope_lower","ter2","starting_point_confidence","a_slope","ntrials","s","dt","subject_id","fit_condition","file_id","cost","model","n_free_params","n_bins","n_obs","bic","aic"
2.08582783961426,0.827858783426169,0.374597808857742,3.06024412929146,0.749816224032415,1.03864323134279,1.02641062120838,0.029646556071621,0.738290542201027,0,5000,1,0.001,"1","All","FCB_cj6_FIT_sub-1_20260629_175031.rds",196.423985825986,"FCB_cj6",9,44,719,255.624738045475,214.423985825986
2.59587292300323,0.66718943988262,0.291155040837824,4.14488733459933,0.430864936349487,1.57932667077082,0.663578245682891,-0.0836338581038134,0.612659919278132,0,5000,1,0.001,"10","All","FCB_cj6_FIT_sub-10_20260629_175503.rds",250.219109115075,"FCB_cj6",9,44,718,309.407335236509,268.219109115075
2.11664279314885,0.557385508406972,0.561025112754734,4.55587052116238,0.433534266147663,1.47488983751828,0.547840891448398,-0.138837540558331,0.654055918590038,0,5000,1,0.001,"11","All","FCB_cj6_FIT_sub-11_20260629_175318.rds",164.565308251506,"FCB_cj6",9,44,718,223.75353437294,182.565308251506
2.25713393047313,0.285788826006371,0.188402065175909,4.45038471607389,0.483220706449609,1.57993772449634,0.00406921128896804,-0.271530300436489,0.644686873960596,0,5000,1,0.001,"12","All","FCB_cj6_FIT_sub-12_20260629_175635.rds",205.516275331751,"FCB_cj6",9,52,712,264.628976534458,223.516275331751
2.48496915864562,0.272066620404409,0.252765950445655,5.75803225806667,0.403971712026557,1.51744689845502,0.663015280282048,-0.540199014309862,0.601432533227123,0,5000,1,0.001,"13","All","FCB_cj6_FIT_sub-13_20260629_175930.rds",194.634723512816,"FCB_cj6",9,52,717,253.810406078212,212.634723512816
1.44628878577729,0.436126107489227,0.289483244141402,6.13536286032678,0.337830091079376,2.22363426201421,0.0042954196278388,-0.496926076694063,0.537176241028432,0,5000,1,0.001,"14","All","FCB_cj6_FIT_sub-14_20260629_175227.rds",351.885785382456,"FCB_cj6",9,52,718,411.07401150389,369.885785382456
1.85095758582321,0.396107903739789,0.375134283629622,6.12312049637025,0.331360997486959,1.9489216625471,0.0464470675816024,-0.615727937820428,0.57078654862192,0,5000,1,0.001,"15","All","FCB_cj6_FIT_sub-15_20260629_175313.rds",115.591486930492,"FCB_cj6",9,52,719,174.792239149981,133.591486930492
1.74552053803193,0.401850155140562,0.602562227160094,5.92056859378412,0.205286332937175,3.01609146603242,0.102583077287358,-0.263951855948952,0.622954536163158,0,5000,1,0.001,"16","All","FCB_cj6_FIT_sub-16_20260629_174855.rds",189.963045701375,"FCB_cj6",9,52,720,249.176306609466,207.963045701375
1.560879835185,1.03455238992899,0.458480162134287,3.85498938118807,0.420789308832585,0.780484905337698,2.70071109793588,-0.00558133812236201,0.934020830905214,0,5000,1,0.001,"17","All","FCB_cj6_FIT_sub-17_20260629_174414.rds",143.267675108338,"FCB_cj6",9,44,719,202.468427327827,161.267675108338
1.57563457943168,0.827304783274751,0.532717555822357,3.25756585340635,0.668332840471178,3.02669153418421,0.0536158106151344,0.123991949732134,0.767630679169275,0,5000,1,0.001,"18","All","FCB_cj6_FIT_sub-18_20260629_174310.rds",179.410348712944,"FCB_cj6",9,44,719,238.611100932434,197.410348712944
1.53498694538731,0.715853009259082,0.34342331714252,2.44798792620056,0.377371432681959,2.3419223323051,0.15506251595508,0.079487786384547,0.815371010094624,0,5000,1,0.001,"19","All","FCB_cj6_FIT_sub-19_20260629_174251.rds",82.2249156147248,"FCB_cj6",9,44,720,141.438176522816,100.224915614725
2.21038453635586,0.647324594564463,0.213120303474301,4.70865812490941,0.662198271630469,1.34675246680308,0.545423761030612,0.110846099529337,0.698907143551897,0,5000,1,0.001,"2","All","FCB_cj6_FIT_sub-2_20260629_175747.rds",271.103660490778,"FCB_cj6",9,44,714,330.241607151834,289.103660490778
1.97269236698788,0.121054210667517,0.729997670747451,11.2061072520793,0.561878337337264,2.03928817960324,0.312782406843352,-1.37156458002721,0.614293385983371,0,5000,1,0.001,"20","All","FCB_cj6_FIT_sub-20_20260629_180213.rds",469.434917029056,"FCB_cj6",9,52,717,528.610599594453,487.434917029056
1.4149998711756,0.604799230705078,0.290164700378314,3.61276675197421,0.526675766130585,1.07368835633005,0.987473747895117,-0.371499726259767,0.532519635371291,0,5000,1,0.001,"21","All","FCB_cj6_FIT_sub-21_20260629_174855.rds",408.094316506917,"FCB_cj6",9,52,718,467.282542628351,426.094316506917
1.73693482149074,0.592538833386026,0.243992135515467,3.16988512474515,0.358947183171542,2.02370149146601,0.0169035430970962,0.0175314288023623,0.748799918709413,0,5000,1,0.001,"22","All","FCB_cj6_FIT_sub-22_20260629_174842.rds",169.665761492142,"FCB_cj6",9,44,718,228.853987613576,187.665761492142
1.87794632546053,0.349567765433639,0.278122151579485,6.4453487697283,0.288725265990846,1.50419526038392,0.026923308832235,-0.509953430786779,0.688396735299998,0,5000,1,0.001,"23","All","FCB_cj6_FIT_sub-23_20260629_175643.rds",216.516325942275,"FCB_cj6",9,52,718,275.704552063709,234.516325942275
1.381345562537,0.181677500757,0.502242810474708,3.68824185167833,0.380337556059317,2.92622900049089,0.195401155584765,0.00671008475161284,0.719844789287981,0,5000,1,0.001,"24","All","FCB_cj6_FIT_sub-24_20260629_174653.rds",88.5693524966509,"FCB_cj6",9,52,719,147.77010471614,106.569352496651
1.99054947355966,0.804600360341261,0.250849590470283,5.8349293609107,0.276363615608976,0.00200158136154593,1.70358217182554,-0.952697980182271,0.517916955398518,0,5000,1,0.001,"25","All","FCB_cj6_FIT_sub-25_20260629_175843.rds",377.407147438126,"FCB_cj6",9,44,719,436.607899657616,395.407147438126
1.16267978483072,0.748391888642572,0.338379769667571,4.18240255988833,0.320942828809733,3.10214633571875,0.142813450458576,-0.214675885952112,0.509479827523339,0,5000,1,0.001,"26","All","FCB_cj6_FIT_sub-26_20260629_175026.rds",538.669365861692,"FCB_cj6",9,52,719,597.870118081182,556.669365861692
2.03615582061523,0.343629774046985,0.155385219901867,5.5244876491513,0.262974361126958,2.98805802565538,0.117064391935555,-0.38996546926604,0.613375726715513,0,5000,1,0.001,"27","All","FCB_cj6_FIT_sub-27_20260629_175542.rds",573.55025660205,"FCB_cj6",9,52,719,632.75100882154,591.55025660205
1.72599099774089,0.515203798746368,0.328903530501706,11.4590253690182,0.200518040700153,2.76246009062331,0.182478949427605,-1.29308145779101,0.565914289318282,0,5000,1,0.001,"28","All","FCB_cj6_FIT_sub-28_20260629_175741.rds",797.701769081318,"FCB_cj6",9,52,719,856.902521300808,815.701769081318
1.76309457784153,0.293051522412891,0.148689091814379,3.58958483461418,0.407370424670606,3.1558595417191,0.0379725360120158,-0.0606951507949062,0.716206153161582,0,5000,1,0.001,"29","All","FCB_cj6_FIT_sub-29_20260629_174833.rds",303.08779131879,"FCB_cj6",9,52,695,361.982997928873,321.08779131879
1.65478520251013,0.700276611776984,0.371339961308032,7.77917683563618,0.22890946000026,2.24548524662305,0.389318159868003,-0.404798030653624,0.721260391622042,0,5000,1,0.001,"3","All","FCB_cj6_FIT_sub-3_20260629_174838.rds",245.506771178073,"FCB_cj6",9,44,719,304.707523397563,263.506771178073
2.00847385273058,0.677764664847503,0.383142702535949,5.2542923164261,0.394697578803606,1.63693730704506,0.698708902536046,-0.282095425763743,0.596138297983186,0,5000,1,0.001,"30","All","FCB_cj6_FIT_sub-30_20260629_175650.rds",286.883185423173,"FCB_cj6",9,44,719,346.083937642662,304.883185423173
1.94366247660495,0.332156487704433,0.369430260590304,9.12881725555781,0.412725678240573,2.82239386813378,0.801606351566582,-0.479975838782868,0.61988971906408,0,5000,1,0.001,"31","All","FCB_cj6_FIT_sub-31_20260629_175804.rds",129.858004614567,"FCB_cj6",9,52,719,189.058756834057,147.858004614567
1.74784065330748,1.00137051372067,0.43431442109038,4.06056265718933,0.478152055262549,0.984044756130335,1.01106689478562,-0.544775556657431,0.483754994600525,0,5000,1,0.001,"32","All","FCB_cj6_FIT_sub-32_20260629_175355.rds",207.366906243196,"FCB_cj6",9,44,720,266.580167151287,225.366906243196
1.79634870673426,0.613478893909822,0.509375526042141,5.2855562790387,0.359990131379276,2.31805034492936,0.0079729462176324,-0.217437868293189,0.549294041773188,0,5000,1,0.001,"33","All","FCB_cj6_FIT_sub-33_20260629_175518.rds",136.772890797119,"FCB_cj6",9,44,719,195.973643016608,154.772890797119
1.53005155965685,0.776951753481417,0.339732388307379,4.86944812188425,0.270970631700326,1.72194688294919,0.027739656297245,-0.363877657921818,0.610537222521804,0,5000,1,0.001,"34","All","FCB_cj6_FIT_sub-34_20260629_175315.rds",416.461752214781,"FCB_cj6",9,44,719,475.662504434271,434.461752214781
1.75537427874151,0.951729796238594,0.392678789462242,4.66018684668022,0.4130575264041,1.92544521467965,0.713306267857225,-0.0112693954070066,0.700726574663631,0,5000,1,0.001,"35","All","FCB_cj6_FIT_sub-35_20260629_175046.rds",183.913788933975,"FCB_cj6",9,44,719,243.114541153465,201.913788933975
1.72714556109539,0.455202869951029,0.552700735619906,6.72225192140902,0.316371451238185,0.111028942784795,2.17257101122909,-1.16241562817377,0.704516732788808,0,5000,1,0.001,"36","All","FCB_cj6_FIT_sub-36_20260629_175858.rds",250.169548495018,"FCB_cj6",9,52,719,309.370300714508,268.169548495018
1.75906388571013,0.59039403613226,0.401808016027099,3.53598204363944,0.35158275572422,1.65076830575343,0.67398472417108,0.0161023381106057,0.778472974519796,0,5000,1,0.001,"37","All","FCB_cj6_FIT_sub-37_20260629_174949.rds",440.999300913744,"FCB_cj6",9,44,719,500.200053133233,458.999300913744
2.02236562608485,0.401209217292922,0.406754771133415,4.11590512457905,0.548301858727076,2.69467863616391,0.00362219426604092,0.0798622886599394,0.646356621164472,0,5000,1,0.001,"38","All","FCB_cj6_FIT_sub-38_20260629_175323.rds",116.578234217911,"FCB_cj6",9,52,719,175.7789864374,134.578234217911
1.85027848961499,0.249093441525619,0.0105737719743387,7.18836288646982,0.64054538910932,1.99889461674873,0.999575122895171,-0.710579287159181,0.630968643065053,0,5000,1,0.001,"39","All","FCB_cj6_FIT_sub-39_20260629_175631.rds",552.950172037924,"FCB_cj6",9,52,650,611.242923303931,570.950172037924
2.20593563671936,0.232071996410049,0.323711410255351,5.13733556520251,0.587883663668683,1.44240279299389,0.00274082598791626,-0.413770574234441,0.608343800025026,0,5000,1,0.001,"4","All","FCB_cj6_FIT_sub-4_20260629_175704.rds",190.365623667516,"FCB_cj6",9,52,716,249.528745170162,208.365623667516
1.72390256406454,0.501806303318229,0.371170871837351,6.99850394845079,0.245106683201405,2.36060357825435,1.28312681443394,-0.218781835845048,0.711045518553134,0,5000,1,0.001,"40","All","FCB_cj6_FIT_sub-40_20260629_175323.rds",183.140264230884,"FCB_cj6",9,52,719,242.341016450373,201.140264230884
2.02133853279686,0.565003142589406,0.25096458485374,4.18846973112897,0.250849742007005,1.90670444024437,0.0390037075714709,-0.251448156963598,0.609733145407726,0,5000,1,0.001,"5","All","FCB_cj6_FIT_sub-5_20260629_175107.rds",303.897573410416,"FCB_cj6",9,44,714,363.035520071472,321.897573410416
1.44940188976981,0.0708514271606734,0.509560009896154,6.99387976339402,0.803343161815,5.95757772419397,0.866091920680772,-0.350292414875693,0.546928393927893,0,5000,1,0.001,"6","All","FCB_cj6_FIT_sub-6_20260629_174455.rds",179.440327633704,"FCB_cj6",9,52,719,238.641079853193,197.440327633704
1.8624434288016,0.632949792730498,0.398933146068093,4.11306830962058,0.317439861446588,1.28520132112352,0.55696904604505,0.0341656256451215,0.762842311954505,0,5000,1,0.001,"7","All","FCB_cj6_FIT_sub-7_20260629_175025.rds",161.807213072745,"FCB_cj6",9,44,718,220.995439194179,179.807213072745
1.7876869452008,0.621157309885459,0.376340927764788,3.27928762737687,0.297874810856199,0.931006507619576,0.7970605762312,-0.113522730564314,0.379936633277374,0,5000,1,0.001,"8","All","FCB_cj6_FIT_sub-8_20260629_174939.rds",278.094086366755,"FCB_cj6",9,44,717,337.269768932152,296.094086366755
2.38843197987024,0.307470965076441,0.358757431837725,4.20057257440234,0.443326979148593,3.41276114026807,0.000508148721737378,-0.357559742751226,0.4837556987813,0,5000,1,0.001,"9","All","FCB_cj6_FIT_sub-9_20260629_175536.rds",466.831076834396,"FCB_cj6",9,52,705,525.854857059706,484.831076834396
