"subject_id","model","cost","bic","aic","n_obs","n_bins","n_free_params","folder"
"1","FCB_cj6",371.772450653853,450.706786946506,395.772450653853,719,112,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"10","FCB_cj6",379.067519129051,457.985153957629,403.067519129051,718,116,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"11","FCB_cj6",408.280703170837,487.198337999415,432.280703170837,718,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"12","FCB_cj6",878.757200057988,957.574134994932,902.757200057988,712,136,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"13","FCB_cj6",994.22476232801,1073.12567241521,1018.22476232801,717,132,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"14","FCB_cj6",915.209914901759,994.127549730337,939.209914901759,718,140,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"15","FCB_cj6",786.015996792625,864.950333085278,810.015996792625,719,136,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"16","FCB_cj6",595.203244230983,674.154258775104,619.203244230983,720,132,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"17","FCB_cj6",326.584722942982,405.519059235635,350.584722942982,719,116,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"18","FCB_cj6",263.149190192186,342.083526484839,287.149190192186,719,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"19","FCB_cj6",265.557068999845,344.508083543966,289.557068999845,720,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"2","FCB_cj6",491.937265058172,570.787860606247,515.937265058172,714,124,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"20","FCB_cj6",1004.24183478759,1083.14274487479,1028.24183478759,717,144,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"21","FCB_cj6",864.145677882893,943.063312711472,888.145677882893,718,132,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"22","FCB_cj6",433.823478204616,512.741113033195,457.823478204616,718,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"23","FCB_cj6",1126.87967187631,1205.79730670489,1150.87967187631,718,136,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"24","FCB_cj6",281.827839592387,360.76217588504,305.827839592387,719,144,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"25","FCB_cj6",1422.80816480501,1501.74250109766,1446.80816480501,719,120,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"26","FCB_cj6",851.205974796444,930.140311089097,875.205974796444,719,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"27","FCB_cj6",841.417743755238,920.352080047891,865.417743755238,719,132,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"28","FCB_cj6",1242.92778851286,1321.86212480551,1266.92778851286,719,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"29","FCB_cj6",487.236869009465,565.763811156242,511.236869009465,695,144,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"3","FCB_cj6",737.002142279568,815.93647857222,761.002142279568,719,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"30","FCB_cj6",819.609853069832,898.544189362485,843.609853069832,719,124,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"31","FCB_cj6",446.235997733534,525.170334026186,470.235997733534,719,132,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"32","FCB_cj6",728.822990857258,807.77400540138,752.822990857258,720,116,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"33","FCB_cj6",303.699625182426,382.633961475078,327.699625182426,719,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"34","FCB_cj6",1162.97127864678,1241.90561493944,1186.97127864678,719,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"35","FCB_cj6",763.751674943758,842.686011236411,787.751674943758,719,116,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"36","FCB_cj6",490.966597000882,569.900933293535,514.966597000882,719,136,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"37","FCB_cj6",888.594559795361,967.528896088014,912.594559795361,719,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"38","FCB_cj6",223.929134840632,302.863471133285,247.929134840632,719,132,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"39","FCB_cj6",1393.33716296454,1471.06083131921,1417.33716296454,650,136,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"4","FCB_cj6",577.495444049566,656.379606053094,601.495444049566,716,144,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"40","FCB_cj6",502.872191647387,581.80652794004,526.872191647387,719,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"5","FCB_cj6",788.464942599272,867.315538147347,812.464942599272,714,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"6","FCB_cj6",388.67515313754,467.609489430192,412.67515313754,719,144,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"7","FCB_cj6",319.973662772862,398.89129760144,343.973662772862,718,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"8","FCB_cj6",572.143141783305,651.0440518705,596.143141783305,717,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"9","FCB_cj6",758.090383048594,836.788756682341,782.090383048594,705,132,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
